Id,full_scorecard,Season,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place,winner_update,Season_update
1,https://stats.espncricinfo.com/ci/engine/match/1304047.html,2022,Chennai Super Kings,Kolkata Knight Riders,131,133,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai,Kolkata,2022
2,https://stats.espncricinfo.com/ci/engine/match/1304048.html,2022,Mumbai Indians,Delhi Capitals,177,179,Delhi Capitals,Field,Capitals,4 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai,Delhi,2022
3,https://stats.espncricinfo.com/ci/engine/match/1304049.html,2022,Royal Challengers Bangalore,Punjab Kings,205,208,Punjab Kings,Field,Punjab,5 wickets,Odean Smith,Dr DY Patil Sports Academy,Mumbai,Punjab,2022
4,https://stats.espncricinfo.com/ci/engine/match/1304050.html,2022,Lucknow Super Giants,Gujarat Titans,158,161,Gujarat Titans,Field,Titans,5 wickets,Mohammed Shami,Wankhede Stadium,Mumbai,Gujarat Titans,2022
5,https://stats.espncricinfo.com/ci/engine/match/1304051.html,2022,Rajasthan Royals,Sunrisers Hyderabad,210,149,Sunrisers Hyderabad,Field,Royals,61 runs,Sanju Samson,Maharashtra Cricket Association Stadium,Pune,Rajasthan,2022
6,https://stats.espncricinfo.com/ci/engine/match/1304052.html,2022,Kolkata Knight Riders,Royal Challengers Bangalore,128,132,Royal Challengers Bangalore,Field,RCB,3 wickets,Wanindu Hasaranga de Silva,Dr DY Patil Sports Academy,Mumbai,Banglore,2022
7,https://stats.espncricinfo.com/ci/engine/match/1304053.html,2022,Chennai Super Kings,Lucknow Super Giants,210,211,Lucknow Super Giants,Field,Super,6 wickets,Evin Lewis,Brabourne Stadium,Mumbai,Lucknow,2022
8,https://stats.espncricinfo.com/ci/engine/match/1304054.html,2022,Punjab Kings,Kolkata Knight Riders,137,141,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai,Kolkata,2022
9,https://stats.espncricinfo.com/ci/engine/match/1304055.html,2022,Rajasthan Royals,Mumbai Indians,193,170,Mumbai Indians,Field,Royals,23 runs,Jos Buttler,Dr DY Patil Sports Academy,Mumbai,Rajasthan,2022
10,https://stats.espncricinfo.com/ci/engine/match/1304056.html,2022,Gujarat Titans,Delhi Capitals,171,157,Delhi Capitals,Field,Titans,14 runs,Lockie Ferguson,Maharashtra Cricket Association Stadium,Pune,Gujarat Titans,2022
11,https://stats.espncricinfo.com/ci/engine/match/1304057.html,2022,Punjab Kings,Chennai Super Kings,180,126,Chennai Super Kings,Field,Punjab,54 runs,Liam Livingstone,Brabourne Stadium,Mumbai,Punjab,2022
12,https://stats.espncricinfo.com/ci/engine/match/1304058.html,2022,Lucknow Super Giants,Sunrisers Hyderabad,169,157,Sunrisers Hyderabad,Field,Super,12 runs,Avesh Khan,Dr DY Patil Sports Academy,Mumbai,Lucknow,2022
13,https://stats.espncricinfo.com/ci/engine/match/1304059.html,2022,Rajasthan Royals,Royal Challengers Bangalore,169,173,Royal Challengers Bangalore,Field,RCB,4 wickets,Dinesh Karthik,Wankhede Stadium,Mumbai,Banglore,2022
14,https://stats.espncricinfo.com/ci/engine/match/1304060.html,2022,Mumbai Indians,Kolkata Knight Riders,161,162,Kolkata Knight Riders,Field,KKR,5 wickets,Pat Cummins,Maharashtra Cricket Association Stadium,Pune,Kolkata,2022
15,https://stats.espncricinfo.com/ci/engine/match/1304061.html,2022,Delhi Capitals,Lucknow Super Giants,149,155,Lucknow Super Giants,Field,Super,6 wickets,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai,Lucknow,2022
16,https://stats.espncricinfo.com/ci/engine/match/1304062.html,2022,Punjab Kings,Gujarat Titans,189,190,Gujarat Titans,Field,Titans,6 wickets,Shubman Gill,Brabourne Stadium,Mumbai,Gujarat Titans,2022
17,https://stats.espncricinfo.com/ci/engine/match/1304063.html,2022,Chennai Super Kings,Sunrisers Hyderabad,154,155,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Abhishek Sharma,Dr DY Patil Sports Academy,Mumbai,Hyderabad,2022
18,https://stats.espncricinfo.com/ci/engine/match/1304064.html,2022,Mumbai Indians,Royal Challengers Bangalore,151,152,Royal Challengers Bangalore,Field,RCB,7 wickets,Anuj Rawat,Maharashtra Cricket Association Stadium,Pune,Banglore,2022
19,https://stats.espncricinfo.com/ci/engine/match/1304065.html,2022,Delhi Capitals,Kolkata Knight Riders,215,171,Kolkata Knight Riders,Field,Capitals,44 runs,Kuldeep Yadav,Brabourne Stadium,Mumbai,Delhi,2022
20,https://stats.espncricinfo.com/ci/engine/match/1304066.html,2022,Rajasthan Royals,Lucknow Super Giants,165,162,Lucknow Super Giants,Field,Royals,3 runs,Yuzvendra Chahal,Wankhede Stadium,Mumbai,Rajasthan,2022
21,https://stats.espncricinfo.com/ci/engine/match/1304067.html,2022,Gujarat Titans,Sunrisers Hyderabad,162,168,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Kane Williamson,Dr DY Patil Sports Academy,Mumbai,Hyderabad,2022
22,https://stats.espncricinfo.com/ci/engine/match/1304068.html,2022,Chennai Super Kings,Royal Challengers Bangalore,216,193,Royal Challengers Bangalore,Field,Super,23 runs,Shivam Dube,Dr DY Patil Sports Academy,Mumbai,Chennai,2022
23,https://stats.espncricinfo.com/ci/engine/match/1304069.html,2022,Punjab Kings,Mumbai Indians,198,186,Mumbai Indians,Field,Punjab,12 runs,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune,Punjab,2022
24,https://stats.espncricinfo.com/ci/engine/match/1304070.html,2022,Gujarat Titans,Rajasthan Royals,192,155,Rajasthan Royals,Field,Titans,37 runs,Hardik Pandya,Dr DY Patil Sports Academy,Mumbai,Gujarat Titans,2022
25,https://stats.espncricinfo.com/ci/engine/match/1304071.html,2022,Kolkata Knight Riders,Sunrisers Hyderabad,175,176,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,Rahul Tripathi,Brabourne Stadium,Mumbai,Hyderabad,2022
26,https://stats.espncricinfo.com/ci/engine/match/1304072.html,2022,Lucknow Super Giants,Mumbai Indians,199,181,Mumbai Indians,Field,Super,18 runs,KL Rahul,Brabourne Stadium,Mumbai,Lucknow,2022
27,https://stats.espncricinfo.com/ci/engine/match/1304073.html,2022,Royal Challengers Bangalore,Delhi Capitals,189,173,Delhi Capitals,Field,RCB,16 runs,Dinesh Karthik,Wankhede Stadium,Mumbai,Banglore,2022
28,https://stats.espncricinfo.com/ci/engine/match/1304074.html,2022,Punjab Kings,Sunrisers Hyderabad,151,152,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,Umran Malik,Dr DY Patil Sports Academy,Mumbai,Hyderabad,2022
29,https://stats.espncricinfo.com/ci/engine/match/1304075.html,2022,Chennai Super Kings,Gujarat Titans,169,170,Gujarat Titans,Field,Titans,3 wickets,David Miller,Maharashtra Cricket Association Stadium,Pune,Gujarat Titans,2022
30,https://stats.espncricinfo.com/ci/engine/match/1304076.html,2022,Rajasthan Royals,Kolkata Knight Riders,217,210,Kolkata Knight Riders,Field,Royals,7 runs,Yuzvendra Chahal,Brabourne Stadium,Mumbai,Rajasthan,2022
31,https://stats.espncricinfo.com/ci/engine/match/1304077.html,2022,Royal Challengers Bangalore,Lucknow Super Giants,181,163,Lucknow Super Giants,Field,RCB,18 runs,Faf du Plessis,Dr DY Patil Sports Academy,Mumbai,Banglore,2022
32,https://stats.espncricinfo.com/ci/engine/match/1304078.html,2022,Punjab Kings,Delhi Capitals,115,119,Delhi Capitals,Field,Capitals,9 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai,Delhi,2022
33,https://stats.espncricinfo.com/ci/engine/match/1304079.html,2022,Mumbai Indians,Chennai Super Kings,155,156,Chennai Super Kings,Field,Super,3 wickets,Mukesh Choudhary,Dr DY Patil Sports Academy,Mumbai,Chennai,2022
34,https://stats.espncricinfo.com/ci/engine/match/1304080.html,2022,Rajasthan Royals,Delhi Capitals,222,207,Delhi Capitals,Field,Royals,15 runs,Jos Buttler,Wankhede Stadium,Mumbai,Rajasthan,2022
