Id,place_city,place_country,place_state
1,Mumbai,India,Maharashtra
2,Mumbai,India,Maharashtra
3,Mumbai,India,Maharashtra
4,Mumbai,India,Maharashtra
5,Pune,India,Maharashtra
6,Mumbai,India,Maharashtra
7,Mumbai,India,Maharashtra
8,Mumbai,India,Maharashtra
9,Mumbai,India,Maharashtra
10,Pune,India,Maharashtra
11,Mumbai,India,Maharashtra
12,Mumbai,India,Maharashtra
13,Mumbai,India,Maharashtra
14,Pune,India,Maharashtra
15,Mumbai,India,Maharashtra
16,Mumbai,India,Maharashtra
17,Mumbai,India,Maharashtra
18,Pune,India,Maharashtra
19,Mumbai,India,Maharashtra
20,Mumbai,India,Maharashtra
21,Mumbai,India,Maharashtra
22,Mumbai,India,Maharashtra
23,Pune,India,Maharashtra
24,Mumbai,India,Maharashtra
25,Mumbai,India,Maharashtra
26,Mumbai,India,Maharashtra
27,Mumbai,India,Maharashtra
28,Mumbai,India,Maharashtra
29,Pune,India,Maharashtra
30,Mumbai,India,Maharashtra
31,Mumbai,India,Maharashtra
32,Mumbai,India,Maharashtra
33,Mumbai,India,Maharashtra
34,Mumbai,India,Maharashtra
35,Mumbai,India,Maharashtra
36,Mumbai,India,Maharashtra
37,Mumbai,India,Maharashtra
38,Mumbai,India,Maharashtra
39,Pune,India,Maharashtra
40,Mumbai,India,Maharashtra
41,Mumbai,India,Maharashtra
42,Pune,India,Maharashtra
43,Mumbai,India,Maharashtra
44,Mumbai,India,Maharashtra
45,Mumbai,India,Maharashtra
46,Pune,India,Maharashtra
47,Mumbai,India,Maharashtra
48,Mumbai,India,Maharashtra
49,Pune,India,Maharashtra
50,Mumbai,India,Maharashtra
51,Mumbai,India,Maharashtra
52,Mumbai,India,Maharashtra
53,Pune,India,Maharashtra
54,Mumbai,India,Maharashtra
55,Mumbai,India,Maharashtra
56,Mumbai,India,Maharashtra
57,Pune,India,Maharashtra
58,Mumbai,India,Maharashtra
59,Mumbai,India,Maharashtra
60,Mumbai,India,Maharashtra
61,Pune,India,Maharashtra
62,Mumbai,India,Maharashtra
63,Mumbai,India,Maharashtra
64,Mumbai,India,Maharashtra
65,Mumbai,India,Maharashtra
66,Mumbai,India,Maharashtra
67,Mumbai,India,Maharashtra
68,Mumbai,India,Maharashtra
69,Mumbai,India,Maharashtra
70,Mumbai,India,Maharashtra
71,Kolkata,India,West Bengal
72,Kolkata,India,West Bengal
73,Ahmedabad,India,Gujarat
74,Ahmedabad,India,Gujarat
75,Chepauk,India,Tamil Nadu
76,Mumbai,India,Maharashtra
